vendor,price,category,name,vendor rating
breadsdrugged,USD 3.99,Exploit,FBI HACKING AND FORENSIC TOOLKIT HACK INTO PHONES - INSTANT DELIVERY,4.9
Michelle,USD 2.99,Methods,Fraud Guide ForTrue Scammers,4.7
breadsdrugged,USD 3.99,Malware,FBI HACKING AND FORENSIC TOOLKIT HACK INTO PHONES - INSTANT DELIVERY,4.9
Fullzipp,USD 10,Exploits,How to get fresh CC info,3.0
g3cko,USD 1.98,Methods,How to make PGP keys fast and secure,4.1
DrunkDragon,USD 0.99,Other,Coinpot Brute Checker,4.3
GoldApple,USD 4.99,Malware,Natwest Phishing Pages + Tutorial,5.0
katarinaa,USD 6,Other,"300k HQ COMBO-LIST Spotify, Netflix, VPN, Uplay, Steam, Minecraft, Fortnite etc",0.0
DrunkDragon,USD 0.99,Other,Netflix Gift Card Generator,4.3
mrq1234,USD 3.96,Software,STEAM GAME KEYS - 100% GUARANTEED PROFIT - PAY 1 GET 3,5.0
digitalworld,USD 9.99,Exploits,-== RDP with Admin Access WORLDWIDE ==-,4.9
DrunkDragon,USD 0.99,Other,Facebook Brute Checker,4.3
g3cko,USD 6.94,Cracked,ANDROID PAYED APK MEGAPACK - biggest collection on Darknet !,4.1
g3cko,USD 1.98,Genuine,VPN software + step by step guide - stay safe !!!,4.1
GoldApple,USD 4.99,Malware,Capital One Phishing Pages + Tutorial,5.0
DrunkDragon,USD 0.99,Malware,Myspace Phishing Page,4.3
blackmarket,USD 1.5,Other,NEW!!! 10K TIKTOK VIEWS *** $1.50 + system access,5.0
colombiaconnection,USD 12.36,Other,Facebook Blaster PRO (FULL VERSION),4.4
breadsdrugged,USD 3.99,Malware,#1 Ultimate Android Carding Setup > NO ROOTING > CASHOUT - INSTANT DELIVERY,4.9
GoldApple,USD 4.99,Malware,Apple Scam Pages + Tutorial,5.0
DrunkDragon,USD 0.99,Malware,HP Shop Phishing Page,4.3
breadsdrugged,USD 3.99,Exploit,LATEST CASHOUT GUIDE CC/CVV Paypal to BTC,4.9
breadsdrugged,USD 4.99,Malware,Computer CARDING Tools + RDP and SOCKS5 Providers - Stop KILLING Your Cards!,4.9
HarleyQuinn,USD 1.99,Cracked,Identity Finder -- Best Data Stealer - Instant Delivery,4.3
HarleyQuinn,USD 1.99,Cracked,Avast Premier 2017 With Licence Key - Stay Safe !,4.3
DrunkDragon,USD 0.99,Cracked,Pastebin D3vSpider,4.3
DrunkDragon,USD 0.99,Cracked,Proxy Goblin V2.5.9.1 + Crack,4.3
HarleyQuinn,USD 1.99,Methods,BASIC Mistakes That Lead to People Getting Arrested from Darknet - Instant Delivery,4.3
breadsdrugged,USD 89.99,Exploit,SOCKS5 CLEAN PROXY - ANY Country | RESIDENTIAL SOCKS | 14 days Duration,4.9
g3cko,USD 4.15,Cracked,Mac - SketchUp Pro 2018 - best 3D design tool !,4.1
breadsdrugged,USD 4.99,Methods,Computer CARDING Tools + RDP and SOCKS5 Providers - Stop KILLING Your Cards,4.9
breadsdrugged,USD 4.99,Hacking,ANTIDETECT 7.3 + FRAUDFOX VM + 4000Configs + CCLEANERPRO,4.9
breadsdrugged,USD 24.99,Other,10 x Monero Silent Miner ! MINE XMR (STEALTH) USING INFECTED COMPUTERS Monero Miner + ANDROID MINER,4.9
SocialMedia,USD 4.99,Genuine,Instagram Bot (Followers | Likes | Comments),4.7
GoldApple,USD 4.99,Malware,Wells Fargo Phishing Pages + Tutorial,5.0
g3cko,USD 2.08,Genuine,Mac - RUN WINDOWS ON YOUR MAC - Parallels Desktop,4.1
g3cko,USD 1.98,Genuine,Ashampoo Anti-Virus 2016 - Darknet security,4.1
breadsdrugged,USD 4.99,Hacking,CARDING MACHINE FULLZ + WIN 7 ! STOP BURNING YOUR CC/PP/BANK LOGS 99% NEW VERSION UPDATED,4.9
g3cko,USD 1.98,Genuine,Portable Office - most secured for docs,4.1
g3cko,USD 2.08,Genuine,Pro Android player on your PC - Rooted + MOD !,4.1
Fullzipp,USD 8,Hacking,HACK ANYONES MOBILE # GAIN FULL ACCESS,3.0
DrunkDragon,USD 0.99,Malware,Runescape Phishing Page,4.3
breadsdrugged,USD 9.99,Genuine,SOCKS5 CLEAN PROXY - ANY Country | RESIDENTIAL SOCKS | 1 day Duration,4.9
DrunkDragon,USD 0.99,Cracked,CheVolume + Crack,4.3
HarleyQuinn,USD 1.99,Malware,Free Unlimited SMS Verification - Instant Delivery,4.3
breadsdrugged,USD 3.99,Exploit,UBER FRAUD PACK > MAKE $2500 MONTHL,4.9
TheDangerousTomato,USD 1.99,Methods,"Make HQ dorks for carding, fraud, hacking (guide + video)",4.7
g3cko,USD 1.98,Genuine,Multiple operating systems on your PC !!!,4.1
Michelle,USD 2.99,Genuine,Wifi Password Auto Hack,4.7
mrq1234,USD 3.96,Software,"VIP ULTIMATE PACKAGE OF FITNESS: WORKOUT, NUTRITION, DIET, YOGA, MENTAL HEALTH,.. 100$ VALUE",5.0
breadsdrugged,USD 3.99,Other,LATEST CASHOUT GUIDE CC/CVV Paypal to BTC,4.9
DrunkDragon,USD 0.99,Malware,Sendspace Phishing Page,4.3
breadsdrugged,USD 3.99,Methods,LATEST CASHOUT GUIDE CC/CVV Paypal to BTC,4.9
breadsdrugged,USD 3.99,Methods,EXTREMELY Detailed Amazon Refund Guide,4.9
mrq1234,USD 3.96,Software,"4 IN 1 PORN BUNDLE - PORN PACKS, EWHORING PACKS, MAKE MONEY WITH PORN...",5.0
breadsdrugged,USD 9.99,Exploit,SOCKS5 CLEAN PROXY - ANY Country | RESIDENTIAL SOCKS | 1 day Duration,4.9
Michelle,USD 2.99,Genuine,Fake Sms Bomber And SmsBlaster,4.7
Fullzipp,USD 10,Methods,How to get unlimited live user Credit card,3.0
HarleyQuinn,USD 1.99,Methods,Bypass Android Pattern Lock from ADB Tool,4.3
g3cko,USD 10.4,Genuine,Automatic File Translation Software - no traces,4.1
digitalworld,USD 3.99,Cracked,-== All Windows Microsoft Office activator key ==,4.9
HarleyQuinn,USD 4.99,Methods,Udemy Hacking Courses Collection,4.3
HarleyQuinn,USD 1.99,Methods,How to trace a Email sender method,4.3
breadsdrugged,USD 3.99,Genuine,UPDATED - HOW TO SAFELY PASS COUNTERFEIT MONEY,4.9
blackmarket,USD 10,Other,NEW!!! 5000 Telegram Channel Members $10 + System Access,5.0
HarleyQuinn,USD 2.99,Methods,Linux Shell Scripting Cookbook Second Edition Over 110 Practical Recipes - Instant Delivery,4.3
HarleyQuinn,USD 2.99,Methods,Get Your Own Item - Mail Drop Tutorial: USA UK EU International,4.3
g3cko,USD 4.06,Cracked,Stay Anonymous - VPN Hotspot Shield Elite.Edition,4.1
breadsdrugged,USD 24.99,Other,SOCKS5 CLEAN PROXY - ANY Country | RESIDENTIAL SOCKS | 3 days Duration,4.9
digitalworld,USD 8.99,Exploits,-== Kaspersky Security ==-,4.9
DrunkDragon,USD 0.99,Cracked,ExpressVPN + Keygen,4.3
g3cko,USD 5.1,Cracked,King Of PC UTILITIES 2019 - Ultimate collection !,4.1
breadsdrugged,USD 14.99,Malware,xDEDIC RDP SOFTWARE + PATCHER + FULL RDP Video Tutorial,4.9
DrunkDragon,USD 0.99,Malware,E-trade Phishing Page,4.3
DrunkDragon,USD 0.99,Malware,Godaddy Phishing Page,4.3
HarleyQuinn,USD 3.99,Hacking,Bitcoin Wallet Stealer / Clipboard Changer Virus +31 pages tutor,4.3
g3cko,USD 2,Cracked,Paragon Hard Disk Manager™ Advanced - best disk manager ever !,4.1
Fullzipp,USD 13,Cracked,Bitcoin Wallet Cracker - Get Unlimited Bitcoins,3.0
g3cko,USD 1.98,Cracked,Master PDF editor - cracked,4.1
g3cko,USD 2.9,Genuine,WebSite X5 Professional 13 - build professional website easy,4.1
enjoymyaccounts,USD 19.99,Services,Instagram Views x5000 Fast Services + Warranty,4.8
HarleyQuinn,USD 2.99,Malware,Dendroid Android RAT v2 (REMOTE ADMIN TOOL) - Instant Delivery,4.3
breadsdrugged,USD 3.99,Other,ORIGINAL - EASY BITCOIN STEALER WITH SOURCE CODE + COMPLETE GUIDE,4.9
DrunkDragon,USD 0.99,Other,Uplay Brute Checker,4.3
krybaby,USD 50,Services,US Only | Stealth 2,4.5
digitalworld,USD 14.99,Genuine,-== Microsoft Office 2019 Pro Plus Official keys ==-,4.9
breadsdrugged,USD 3.99,Exploit,EASY ONE CLICK MAC ADDRESS CHANGER - Windows A MUST HAVE FOR ALL FRAUDCARDING,4.9
Fullzipp,USD 100,Cracked,EMV X2 ARQC SOFTWARE 2021 MASTERKEY VERSION WARRANTY,3.0
g3cko,USD 1.98,Genuine,Internet Download Manager - 5x faster downloading,4.1
DrunkDragon,USD 0.99,Cracked,Driver Scanner v4.0.1.6 Cracked,4.3
mrq1234,USD 3.96,Software,VIP ULTIMATE PACKAGE TO BEAT THE HOUSE AND EARN $$$ WITH GAMBLING AND BETTING,5.0
DrunkDragon,USD 0.99,Other,Spotify Account Checker,4.3
digitalworld,USD 39.99,Services,-== MASS SMS SPAMMING SERVICE ==-,4.9
GoldApple,USD 24.99,Genuine,Bitcoin Wallet Cracker - Get Unlimited Bitcoins,5.0
GoldApple,USD 4.99,Malware,Lloyds Phishing Pages + Tutorial,5.0
DrunkDragon,USD 0.99,Other,Fitbit Brute Checker,4.3
TheDangerousTomato,USD 5.99,Malware,Android Mega RAT Pack,4.7
DrunkDragon,USD 0.99,Other,DK Brute - Bruteforce Hacking Software,4.3
breadsdrugged,USD 3.99,Malware,PRINT USPS/FEDEX/CANADA POST LABELS ANONYMOUS,4.9
DrunkDragon,USD 0.99,Cracked,SpyHunter v4 + Crack,4.3
enjoymyaccounts,USD 4.99,Other,Windscribe VPN Pro Plan,4.8
