Vendor,Price,Category,Name,Sales,Views
ThePirateIsland,USD 6.95,Social Engineering,[STICKY] 1000 Instagram REAL Followers $7 CHEAPEST ON MARKET,100,
KingAccount,USD 8.00,Social Engineering,[STICKY] Tiktok Followers x1000 HIGH QUALITY - EXTRA Delivery - Warranty,16,
h3exx,USD 1.00,Carding,How to Cashout CC/CVV/FULLZ Tutorial for Beginners,299,
ThePirateIsland,USD 2.95,Social Engineering,1000 Instagram Followers $3 CHEAPEST ON MARKET,212,
LOSSANTOS,USD 0.99,Carding,[AUTO DISPATCH] 20 Methods To Cash out All CC To Bitcoins,79,
ThePirateIsland,USD 3.95,Social Engineering,1000 Telegram Channel Members $4 CHEAPEST ON MARKET,65,
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding Monero [WORKING],64,
Color,USD 2.50,Carding,♚ TOPMONEYMAKER 300+ PREMIUM NON VBV CARDABLE SITE,52,
trustar,USD 2.50,Other,"[AUTO DISPATCH] 701,000 EMAIL AND PASSWORDS COMBOS BIG DATA LEAK",41,
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE SOCKS5/Proxy setup [WORKING],35,
KingAccount,USD 5.00,Social Engineering,Instagram Followers x1000 HIGH QUALITY - EXTRA Delivery - Warranty,34,
ThePirateIsland,USD 2.95,Social Engineering,1000 Instagram LIKES $3 CHEAPEST ON MARKET,30,
TheDangerousTomato,USD 2.99,Carding,[AUTO DISPATCH] Altcoin Mobile Carding Method v4,28,
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding in 1 lesson [WORKING],25,
ThePirateIsland,USD 4.95,Social Engineering,1000 Youtube Views $5 CHEAPEST ON MARKET,25,
trustar,USD 2.50,Other,"[AUTO DISPATCH] 701,000 EMAIL AND PASSWORDS COMBOS BIG DATA LEAK",41,409.0
blackmarket,USD 3.00,Other,NEW!!! 1000 Instagram Followers $3 + system access,14,
h3exx,USD 1.00,Other,!! How to create a Phishing webpage !!,14,
LOSSANTOS,USD 2.99,Other,[AUTO DISPATCH] How To Get Unlimited Uber Rides - ( Instant Delivery ),13,
blackmarket,USD 1.00,Other,*** NEW!! 1000 Spotify Premium Plays *** only $1,8,
blackmarket,USD 3.00,Other,20K TIKTOK VIEWS *** $3 + System Access,7,
Norty,USD 0.01,Other,Feedback listing for after purchases - Tip jar,7,
blackmarket,USD 6.00,Other,NEW!!! 2000 Instagram Followers $6 + system access,6,
Color,USD 1.07,Other,Hackers Secrets For Beginners,6,
h3exx,USD 2.00,Other,!! How to create a Phishing webpage !!,5,118.0
vendetta,USD 5.00,Other,1000 x Twitter - X REAL TYPE %100 LEGAL - Plus WARRANTY -,5,
SocialMedia,USD 1.00,Other,Instagram Followers | 100 For 1$ | Lifetime Warranty,4,73.0
blackmarket,USD 4.00,Other,NEW!!! 2000 Telegram Channel Members $4 + System Access,4,
trusteelucky,USD 8.00,Other,[AUTO DISPATCH] 7839+ Awesome Deep Web Onion Links List (Uncensored Content)+1 USA CC EXTRA FREE,4,
dannyboys,USD 1.00,Other,[AUTO DISPATCH] TIP JAR - Thank you! *dannyboys*,4,
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding BTC using your computer,18,
g3cko,USD 4.99,Carding,[AUTO DISPATCH] STRIPE CC cashout detailed tutorial - $20k weekly,18,
ThePirateIsland,USD 14.95,Social Engineering,5000 Instagram Followers $15 CHEAPEST ON MARKET,18,
LOSSANTOS,USD 0.99,Carding,[AUTO DISPATCH] Squareup Cashout Tutorial - ( Instant Delivery ),15,
ThePirateIsland,USD 6.95,Social Engineering,Tiktok x500 Followers Cheapest on Market,15,
KingAccount,USD 8.00,Social Engineering,Youtube ORGANIC SUBSCRIBERS x100 EXTRA Delivery - Warranty,15,
h3exx,USD 4.00,Carding,16 Easily Cardable Shopify Sites Who Sells Gift C,14,
fullzipp,USD 10.00,Carding,Offshore ANONYMOUS / NONAME PREPAID CARDS link,14,
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding Compound Crypto [WORKING],12,
g3cko,USD 3.12,Carding,[AUTO DISPATCH] Microsoft Office 2019 - newest office for PC !,12,
fraudbuddy,USD 100.00,Carding,2days tutorial on fraud methods,12,
h3exx,USD 1.00,Carding,How to Cashout CC/CVV/FULLZ Tutorial for Beginners,12,
blackmarket,USD 2.00,Other,*** NEW!! 2000 Spotify Premium Plays *** only $2,4,
NetHN22,USD 100.00,Other,custom order DeepFake,3,
SocialMedia,USD 5.00,Other,TikTok Followers | 1000 For 5$ | Lifetime Warranty,3,
dannyboys,USD 80.00,Other,"Find Vehicle Owner Identity and Address with State, License Plate ID and/or VIN (US)",3,
vendetta,USD 5.00,Other,2500 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,3,
blackmarket,USD 4.00,Other,NEW!!! 500 TIKTOK Followers $4 + System Access,3,
fionasbioshop,USD 2.15,Other,❤️ Tips \ Trinkgeld ❤️,2,
blackmarket,USD 1.50,Other,10K TIKTOK VIEWS *** $1.50 + System Access,2,
blackmarket,USD 1.50,Other,10K TIKTOK VIEWS *** $1.50 + System Access,2,66.0
blackmarket,USD 16.00,Other,NEW!!! 2000 TIKTOK Followers $16 + System Access,2,
holygh0st,USD 1.00,Other,$$$ TIPS $$$,2,
vendetta,USD 29.00,Other,20.000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,2,
vendetta,USD 1.50,Other,1000 x Instagram Followers REAL TYPE %100 LEGAL - Plus WARRANTY -,2,
TheWizards,USD 10.00,Other,The Complete Guide on How To Make Cocaine at Home,2,95.0
SocialMedia,USD 2.00,Other,Instagram Likes | 1000 For 2$ | Lifetime Warranty,2,71.0
ThePirateIsland,USD 5.95,Social Engineering,Telegram 1000 Post Views (Last 10 posts) $6 CHEAPEST ON MARKET,12,
ThePirateIsland,USD 13.95,Social Engineering,2000 Instagram REAL Followers $14 CHEAPEST ON MARKET,11,
Color,USD 1.00,Carding,♚ Carding Walmart [NEW] ♚,10,
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding BTC via Cash App [WORKING],9,
ThePirateIsland,USD 5.95,Social Engineering,2000 Instagram LIKES $6 CHEAPEST ON MARKET,9,
Color,USD 1.07,Carding,♚ CC to BTC Methods ♚,8,
iSellVerifiedAccounts,USD 6.90,Carding,[AUTO DISPATCH] VIDEO How To Connect to RDP For 100%SUCESS Carding,8,
Color,USD 1.40,Carding,AliExpress Carding Methods 2022,8,
digitalworld,USD 9.99,Social Engineering,-== E-Mail Bombing Service ==-,8,110.0
KingAccount,USD 4.00,Social Engineering,Instagram LIKES x1000 HIGH QUALITY - EXTRA Delivery - Warranty,8,
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding BTC using your smartphone,8,
KingAccount,USD 10.00,Social Engineering,Youtube LIKES x2000 HIGH QUALITY - EXTRA Delivery - Warranty,7,
SocialMedia,USD 5.00,Other,Instagram Followers And Likes | 1000 For 5$ | Lifetime Warranty,1,
SocialMedia,USD 3.00,Other,Instagram Followers | 1000 For 3$ | CHEAPEST ON MARKET,1,37.0
blackmarket,USD 9.00,Other,NEW!!! 3000 Instagram Followers $9 + system access,1,
blackmarket,USD 2.00,Other,NEW!!! 1000 Telegram Channel Members $2 + System Access,1,77.0
blackmarket,USD 3.00,Other,NEW!!! 1000 youtube Views $3 + System Access,1,72.0
blackmarket,USD 15.00,Other,NEW!!! 5000 youtube Views $15 + System Access,1,
NetHN22,USD 350.00,Other,Custom Order DeepFake,1,43.0
wolframUK,USD 5279.37,Other,Custom Listing for Free,1,
NetHN22,USD 74.00,Other,custom order DeepFake,1,13.0
blackmarket,USD 3.00,Other,*** NEW!! 3000 Spotify Premium Plays *** only $3,1,
vendetta,USD 0.75,Other,- 500 x Instagram Followers - REAL TYPE %100 LEGAL - Plus WARRANTY -,1,
KIND,USD 1.00,Other,Custom Listing,1,188.0
vendetta,USD 75.00,Other,25.000 x Twitter - X REAL TYPE FOLLOWERS %100 LEGAL - Plus WARRANTY -,1,9.0
kimarty,USD 0.11,Other,ID.ME LOGIN NEEDED! 400K DEAL,1,120.0
Color,USD 1.07,Other,Top 5 Reasons for Bloggers to Use a VPN,1,
TheWizards,USD 10.00,Social Engineering,Snapchat Account and Password Hacker,7,742.0
g3cko,USD 1.98,Carding,CCleaner Professional - newest version,7,
Color,USD 1.07,Carding,Western Union Carding Tutorial,6,
excelllence,USD 35.00,Carding,▬ HACKED★5K to 1 Million Bitcoin Private Key ▬ ★,6,
fullzipp,USD 4.00,Carding,E-GIFT CARD 20+ Websites | ONLY $5,7,
Color,USD 1.07,Carding,♚ Carding Safely And Tips ♚,5,
h3exx,USD 1.00,Carding,How to Cashout CC/CVV/FULLZ Tutorial for Beginners,6,
trustar,USD 20.00,Carding,100% valid RDP 2GB ram ADMIN USA,5,
g3cko,USD 3.12,Carding,[AUTO DISPATCH] Mac - Microsoft Office 2019 for Mac Multilingual,5,
Color,USD 1.07,Carding,♚ Carding Amazon [Tutorial] ♚,5,
SocialMedia,USD 2.00,Other,TikTok Likes | 1000 For 2$ | Lifetime Warranty,0,31.0
iSellVerifiedAccounts,USD 500.00,Other,[AUTO DISPATCH] CC TO BTC! I buy ALL Netller and Skrill funds,0,54.0
iSellVerifiedAccounts,USD 1000.00,Other,[AUTO DISPATCH] CC TO BTC! I buy ALL Netller and Skrill funds,0,35.0
iSellVerifiedAccounts,USD 250.00,Other,"💰💰⚡I BUY ALL NETELLER,SKRILL FUNDS⚡💰💰",0,45.0
Topvendor,USD 5.00,Other,Wanna Read a book!! Please PM US,0,28.0
Topvendor,USD 8.17,Other,FIND AND WATCH LIVE SECURITY CAMERAS WITH GOOGLE FOR FUN,0,28.0
DeepWl,USD 1.00,Other,Complete Hardware Hacking Package 2021,0,19.0
Topvendor,USD 160.10,Other,Phishing Collection,0,31.0
fullzipp,USD 5.00,Other,How to prevent computer from accessing internet,0,194.0
fullzipp,USD 5.00,Other,[AUTO DISPATCH] Receive SMS online - free & anonymous,0,240.0
Color,USD 1.07,Other,Computer Hacking,0,141.0
Color,USD 1.07,Other,Android hacker's handbook,0,70.0
Color,USD 1.07,Other,IRC Hacks @Team DDU - By Paul Mutton,0,87.0
Color,USD 1.07,Other,Which Phone is More Vulnerable to Hacking — iPhone,0,165.0
trusteelucky,USD 8.00,Other,[AUTO DISPATCH] 5 FREE PLAY TO EARN NFT GAMES IN 2022 TO EARN $107 DAILY+1 USA CC EXTRA FREE,0,39.0
TheWizards,USD 12.00,Social Engineering,A Facebook EMail Hacker for Hire,4,
TheWizards,USD 10.00,Social Engineering,The Complete and Utter Mega Narcotics Cookbook,4,
Color,USD 1.07,Carding,♚ Carding TermsWords [2] ♚,3,
Tuts4ever,USD 0.99,Carding,2022 GUIDE Carding BTC via XCOINS [WORKING],3,73.0
excelllence,USD 3.00,Carding,♕ BIN LIST - EASY RESET - NON VBV MCSC - WORLDWIDE,3,
ThePirateIsland,USD 4.95,Social Engineering,1000 Soundcloud Followers $5 CHEAPEST ON MARKET,3,
SocialMedia,USD 6.00,Other,Instagram Followers | 100% Real | 1000 For 6$ | Lifetime Warranty,0,35.0
SocialMedia,USD 50.00,Other,Instagram Followers | 10000 For 50$ | Lifetime Warranty,0,37.0
SocialMedia,USD 100.00,Other,Instagram Followers | 20000 For 100$ | Lifetime Warranty,0,31.0
SocialMedia,USD 25.00,Other,Instagram Followers | 5000 For 25$ | Lifetime Warranty,0,31.0
SocialMedia,USD 3.00,Other,Instagram High Quality Likes | 1000 For 3$ | Lifetime Warranty,0,35.0
SocialMedia,USD 20.00,Other,Instagram Likes | 10000 For 20$ | Lifetime Warranty,0,35.0
SocialMedia,USD 250.00,Other,Instagram Followers | 50000 For 250$ | Lifetime Warranty,0,32.0
SocialMedia,USD 40.00,Other,Instagram Likes | 20000 For 40$ | Lifetime Warranty,0,36.0
SocialMedia,USD 10.00,Other,Instagram Likes | 5000 For 10$ | Lifetime Warranty,0,26.0
SocialMedia,USD 100.00,Other,Instagram Likes | 50000 For 100$ | Lifetime Warranty,0,30.0
SocialMedia,USD 3.00,Other,Telegram Channel Members | 1000 For 3$,0,78.0
SocialMedia,USD 4.00,Other,Twitch Channel Views | 1000 For 4$,0,45.0
SocialMedia,USD 6.00,Other,Twitch Followers | 1000 For 6$,0,39.0
Swipper,USD 10.01,Other,20 WAYS TO GET SOMEONE'S IP ADDRESS,0,65.0
TheDangerousTomato,USD 19.99,Other,[AUTO DISPATCH] The Spamming Guide (Make $10k/month),0,78.0
TheWizards,USD 12.00,Social Engineering,Hire a Facebook Whatsapp Hacker,3,
ThePirateIsland,USD 7.49,Social Engineering,Facebook Page Followers + Likes x1000 Cheapest on Market,3,
ThePirateIsland,USD 19.95,Social Engineering,5000 Telegram Channel Members $20 CHEAPEST ON MARKET,3,
KingAccount,USD 25.00,Social Engineering,Instagram Followers x5000 HIGH QUALITY - EXTRA Delivery - Warranty,3,
