Vendor,Price,Category,Name,Sales,Views
ThePirateIsland,USD 6.95,Social Engineering,[STICKY] 1000 Instagram REAL Followers $7 CHEAPEST ON MARKET,1661,137
KingAccount,USD 8.00,Social Engineering,[STICKY] Tiktok Followers x1000 HIGH QUALITY - EXTRA Delivery - Warranty,331,33
h3exx,USD 1.00,Carding,How to Cashout CC/CVV/FULLZ Tutorial for Beginners,3912,410
ThePirateIsland,USD 2.95,Social Engineering,1000 Instagram Followers $3 CHEAPEST ON MARKET,2059,264
LOSSANTOS,USD 0.99,Carding,[AUTO DISPATCH] 20 Methods To Cash out All CC To Bitcoins,1248,145
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding Monero [WORKING],665,74
Color,USD 2.50,Carding,♚ TOPMONEYMAKER 300+ PREMIUM NON VBV CARDABLE SITE,1007,71
"trustar
Trusted",USD 2.50,Other,"[AUTO DISPATCH] 701,000 EMAIL AND PASSWORDS COMBOS BIG DATA LEAK",655,60
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE SOCKS5/Proxy setup [WORKING],471,55
KingAccount,USD 5.00,Social Engineering,Instagram Followers x1000 HIGH QUALITY - EXTRA Delivery - Warranty,497,42
ThePirateIsland,USD 2.95,Social Engineering,1000 Instagram LIKES $3 CHEAPEST ON MARKET,519,38
Tuts4ever,USD 0.99,Carding,[AUTO DISPATCH] 2022 GUIDE Carding in 1 lesson [WORKING],345,31
ThePirateIsland,USD 4.95,Social Engineering,1000 Youtube Views $5 CHEAPEST ON MARKET,554,29
Mrq1234,USD 4.09,Carding,MAKE 1000$ A WEEK WITH BETTING AND GAMBLING,457,29
thebankster,USD 19.00,Carding,[AUTO DISPATCH] Fraud Bible 2024 Ultra Velocity Edition+ carding Bible+Methods FULL PACK 44GB + VIDEO 2024,426,29
Norty,USD 0.01,Other,Feedback listing for after purchases - Tip jar,156,28
LOSSANTOS,USD 2.99,Other,[AUTO DISPATCH] How To Get Unlimited Uber Rides - ( Instant Delivery ),669,26
DrFRAUD51,USD 8.15,Other,* MUST BUY * CARDING SOFTWARES FRAUDFOX ANTIDETECT + ALL GUIDES INCLUDED,125,24
h3exx,USD 1.00,Other,!! How to create a Phishing webpage !!,278,23
blackmarket,USD 3.00,Other,20K TIKTOK VIEWS *** $3 + System Access,232,17
Color,USD 1.07,Other,Hackers Secrets For Beginners,188,16
Mrq1234,USD 2.60,Other,RANDOM SUPRISE VALUABLE ITEM - 100% GUARANTEED PROFIT,271,13
Mrq1234,USD 5.09,Other,SPORT BETTING TIPSTER - 100% GUARANTEED PROFIT - HIT OR REFUND,402,13
blackmarket,USD 16.00,Other,NEW!!! 2000 TIKTOK Followers $16 + System Access,184,11
blackmarket,USD 1.00,Other,*** NEW!! 1000 Spotify Premium Plays *** only $1,312,9
Mrq1234,USD 4.09,Other,COMPLETE PORN PACK + EWHORING PACK + MAKE MONEY WITH PORN - 3 IN 1,226,9
holygh0st,USD 1.00,Other,$$$ TIPS $$$,50,8
blackmarket,USD 6.00,Other,NEW!!! 2000 Instagram Followers $6 + system access,297,6
DrFRAUD51,USD 8.15,Other,* MUST BUY * ALL REAL ESTATE TRAINING & METHODS TO MAKE MONEY EVER EXIST,45,6
h3exx,USD 4.00,Carding,16 Easily Cardable Shopify Sites Who Sells Gift C,623,28
Mrq1234,USD 4.09,Social Engineering,STEAM GAME KEYS - 100% GUARANTEED PROFIT - PAY 1 GET 3,287,26
g3cko,USD 4.99,Carding,[AUTO DISPATCH] STRIPE CC cashout detailed tutorial - $20k weekly,395,26
KingAccount,USD 8.00,Social Engineering,Youtube ORGANIC SUBSCRIBERS x100 EXTRA Delivery - Warranty,199,23
ThePirateIsland,USD 14.95,Social Engineering,5000 Instagram Followers $15 CHEAPEST ON MARKET,456,21
LOSSANTOS,USD 0.99,Carding,[AUTO DISPATCH] Squareup Cashout Tutorial - ( Instant Delivery ),113,20
ThePirateIsland,USD 6.95,Social Engineering,Tiktok x500 Followers Cheapest on Market,147,18
DArknetWizard,USD 6.20,Social Engineering,"MASTER FACEBOOK ADS, GOOGLE ADS, EMAIL ADS, PPC,... + 2K-4K MONTHLY",133,18
h3exx,USD 1.00,Carding,How to Cashout CC/CVV/FULLZ Tutorial for Beginners,234,18
DArknetWizard,USD 6.20,Carding,"MASTER AFFILIATE MARKETING, BRANDING, PASSIVE INCOME AND STRATEGIES - 2K-4K MONTHLY",59,17
blackmarket,USD 7.50,Other,50K TIKTOK VIEWS *** $7.50 + System Access,85,6
DrFRAUD51,USD 8.15,Other,"* MUST BUY * ALL CRYPTOCURRENCIES, NFT, BITCOIN,.. KNOWLEDGES FOR THE FUTURE",28,6
blackmarket,USD 4.00,Other,NEW!!! 2000 Telegram Channel Members $4 + System Access,209,5
h3exx,USD 2.00,Other,!! How to create a Phishing webpage !!,136,5
auskingpin,USD 46.59,Other,Auspost Parcel Locker Fully Activated,76,5
SocialMedia,USD 1.00,Other,Instagram Followers | 100 For 1$ | Lifetime Warranty,87,4
Mrq1234,USD 4.09,Other,SHOPIFY COMPLETE MEGAPACK - ECOMMERCE STARTUP + DROPSHIPPING 3 IN 1,70,4
TheWizards,USD 10.00,Other,The Complete Guide on How To Make Cocaine at Home,125,4
